source_id,target_id,relationship_type,strength
1,15,Credit Provider,0.3968020712816316
1,26,Joint Venture,0.5341360747086306
1,3,Parent,0.17992563896746097
2,4,Credit Provider,0.28237227698661027
2,10,Joint Venture,0.6864570726187987
3,22,Parent,0.6440937423908932
3,19,Trading Partner,0.17661760565969392
3,13,Joint Venture,0.5000620186275548
4,9,Joint Venture,0.9543998924308369
4,8,Credit Provider,0.8106255260114823
4,27,Parent,0.2359870366140636
5,11,Subsidiary,0.8383182933138948
5,43,Credit Provider,0.6082547266942181
6,50,Parent,0.5941050436853954
6,23,Parent,0.9289614201923145
7,9,Parent,0.40606862591763593
8,44,Parent,0.1535161055298977
9,27,Joint Venture,0.26823077573763465
9,27,Subsidiary,0.4429302191493666
9,22,Credit Provider,0.5627387563726638
10,4,Parent,0.37055578434538816
10,42,Trading Partner,0.42691644633209835
10,22,Subsidiary,0.7991592275189162
11,25,Trading Partner,0.413761823556947
11,40,Credit Provider,0.9537441233274664
11,26,Parent,0.46099519809100165
12,3,Credit Provider,0.9296802081302386
12,17,Credit Provider,0.11895391686979795
13,28,Trading Partner,0.29594720672257635
14,4,Trading Partner,0.16483016329705363
15,38,Parent,0.10945079761831755
15,12,Trading Partner,0.14619367774469463
16,42,Subsidiary,0.14663525831978252
17,39,Subsidiary,0.46140898024346766
17,13,Subsidiary,0.7352065869165983
18,36,Trading Partner,0.9813579159568319
18,50,Trading Partner,0.23049512106112752
19,45,Trading Partner,0.49192164395996973
19,39,Trading Partner,0.288132866620594
19,28,Subsidiary,0.4706710828704045
20,26,Parent,0.23950442087616308
21,45,Parent,0.21884513345952245
21,39,Joint Venture,0.92702751113245
21,14,Credit Provider,0.15473589481026695
22,16,Subsidiary,0.7775680703557902
23,6,Trading Partner,0.5293835714229438
23,15,Trading Partner,0.302352772289765
24,33,Trading Partner,0.75214922642835
24,25,Subsidiary,0.8080249416034921
24,49,Subsidiary,0.29578693319541494
25,38,Credit Provider,0.26051200905621447
25,23,Credit Provider,0.3346378104922543
25,27,Subsidiary,0.9512308927515812
26,39,Credit Provider,0.8862933972018595
26,44,Subsidiary,0.8690374502599387
26,17,Joint Venture,0.7508639538931416
27,13,Joint Venture,0.23952142895121353
27,29,Trading Partner,0.2501228732745209
28,35,Parent,0.770160940334316
28,47,Joint Venture,0.4950591209660241
29,44,Credit Provider,0.28537828160886897
29,50,Parent,0.8395992868074388
29,8,Credit Provider,0.8243233101427953
30,25,Joint Venture,0.44074880805993555
30,45,Joint Venture,0.7889260315830098
30,50,Joint Venture,0.2901666614018638
31,46,Subsidiary,0.380995602174958
32,14,Joint Venture,0.6792884398170526
32,38,Trading Partner,0.45263509241641087
32,22,Subsidiary,0.16699360775043282
33,9,Trading Partner,0.9384077141170488
33,14,Joint Venture,0.4957972515951454
34,25,Credit Provider,0.34830721397240433
34,24,Joint Venture,0.8630730366221923
35,18,Subsidiary,0.40550677044351857
35,12,Parent,0.6829527714780724
35,15,Parent,0.21362544176594922
36,29,Joint Venture,0.27828496663289354
36,46,Parent,0.19583556652827494
36,24,Subsidiary,0.769558368899354
37,45,Subsidiary,0.9100272533957061
37,39,Parent,0.45758292563612857
38,13,Credit Provider,0.7720081536352035
38,5,Parent,0.45912844010788956
39,10,Credit Provider,0.1974073305190418
39,40,Parent,0.6971952120390568
39,47,Trading Partner,0.25756784819090517
